Age,Club,Cond,Current Race Name,Dist,First,G ID,Grp,MeetDate,Prize$$,Registered Race Name,SECOND,Second,Sex,State,THIRD,Third,Unnamed: 11,Venue,WINNER
3-Y-O,HAWKESBURY RC,,HAWKESBURY GUINEAS,1400,,655,3,2019-04-27,200000,HAWKESBURY GUINEAS,,,O,NSW,,,SWP,HAWK,
O,HAWKESBURY RC,,HAWKESBURY GOLD RUSH,1100,,970,4,2019-04-27,140000,HAWKESBURY GOLD RUSH,,,O,NSW,,,Qlty,HAWK,
3-Y-O,BRC,,GUNSYND CLASSIC,1600,,575,3,2019-04-27,125000,GUNSYND CLASSIC,,,O,QLD,,,SW,E FM,
O,HAWKESBURY RC,,DARLEY CROWN,1300,,717,3,2019-04-27,160000,HAWKESBURY CROWN,,,F&M,NSW,,,SWP,HAWK,
3-Y-O,SAJC,,CHAIRMAN'S STAKES,2000,,184,3,2019-04-27,120000,SAJC CHAIRMAN'S STAKES,,,O,SA,,,SW,MORP,
2-Y-O,SAJC,,BREEDERS' STAKES,1200,,540,3,2019-04-27,120000,BREEDERS STAKES,,,O,SA,,,SW,MORP,
3-Y-O,SAJC,,H C NITSCHKE STAKES,1400,,383,4,2019-04-27,100000,H C NITSCHKE STAKES,,,O,SA,,,SWP,MORPP,
O,SAJC,,CITY OF ADELAIDE HANDICAP,1400,,430,4,2019-04-27,100000,CITY OF ADELAIDE HCP,,,O,SA,,,Qlty,MORPP,
2-Y-O,MRC,,REDOUTES CHOICE STAKES,1200,,714,4,2019-04-27,120000,REDOUTES CHOICE STAKES,,,O,VIC,,,Hcp,CAUL,
3YO&Up,BRC,,VICTORY STAKES,1200,,463,2,2019-04-27,200000,VICTORY STAKES,,,O,QLD,,,WFA,E FM,
2-Y-O,VRC,,ANZAC DAY STAKES,1400,,471,4,2019-04-25,120000,ANZAC DAY HANDICAP,,,O,VIC,,,Hcp,FLEM,
3-Y-O,VRC,,VRC ST LEGER,2800,,22,4,2019-04-25,200000,VRC ST LEGER,,,O,VIC,,,SW,FLEM,
O,ATC,,ALL AGED STAKES,1400,,104,1,2019-04-20,600000,ALL AGED STAKES,,,O,NSW,,,WFA,RAND,
3-Y-O,ATC,,JAMES H B CARR STAKES,1400,,173,3,2019-04-20,160000,J H B CARR STAKES,,,F,NSW,,,SWP,RAND,
2-Y-O,ATC,,CHAMPAGNE STAKES,1600,,24,1,2019-04-20,500000,CHAMPAGNE STAKES,,,O,NSW,,,SW,RAND,
