MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
9/04/2011,5,1,NSW,AJC,RAND,AJC AUSTRALIAN DERBY,2400,1300000,3-Y-O,O,SW,AJC AUSTRALIAN DERBY,SHAMROCKER,RETRIEVE,ANACHEEVA
9/04/2011,10,1,NSW,AJC,RAND,AJC SIRES PRODUCE STAKES,1400,300000,2-Y-O,O,SW,AJC SIRES PRODUCE STAKES,HELMET,UATE,PANE IN THE GLASS
9/04/2011,646,1,NSW,AJC,RAND,T J SMITH STAKES,1200,350000,O,O,WFA,T J SMITH STAKES,BLACK CAVIAR,HAY LIST,TRIPLE HONOUR
9/04/2011,182,2,NSW,AJC,RAND,CHAIRMAN'S HANDICAP,2600,175000,O,O,Hcp,AJC CHAIRMANS HANDICAP,ONCE WERE WILD,ANUDJAWUN,C'EST LA GUERRE
9/04/2011,650,2,NSW,AJC,RAND,SAPPHIRE STAKES,1200,175000,3YO&Up,F&M,SWP,SAPPHIRE STAKES,HURTLE MYRTLE,KIMILLSY,MARQUARDT
9/04/2011,101,3,NSW,AJC,RAND,ADRIAN KNOX QLTY STAKES,2000,125000,3-Y-O,F,Qlty,ADRIAN KNOX STAKES,CRAFTY IRNA,RASPBERRIES,BECERRA
9/04/2011,167,3,NSW,AJC,RAND,CARBINE CLUB STAKES,1600,125000,3-Y-O,O,SWP,AJC CARBINE CLUB STAKES,NEEDS FURTHER,DIVORCES,SHADOWS IN THE SUN
9/04/2011,439,3,NSW,AJC,RAND,ROYAL PARMA STAKES,1600,125000,3YO&Up,O,Qlty,ROYAL PARMA STAKES,MY KINGDOM OF FIFE,HIDDEN WONDER,BOLD GLANCE
5/03/2011,571,3,NSW,AJC,RAND,KINDERGARTEN STAKES,1100,125000,2-Y-O,O,SW,KINDERGARTEN STAKES,ANISE,QUEENIAN,HOT SNITZEL
9/04/2011,443,3,SA,SAJC,MORP,SA FILLIES CLASSIC,2400,115000,3-Y-O,F,SW,SA OAKS,PRECIOUS LORRAINE,LALLA ROOKH,TOP BILLING
9/04/2011,466,3,SA,SAJC,MORP,SIRES PRODUCE STAKES,1400,115000,2-Y-O,O,SW,SAJC SIRES' PRODUCE STAKES,CUTE EMILY,WIN FOR WILSON,CASH BOUND
