MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,WINNER,SECOND,THIRD
27/02/2010,584,4,VIC,MRC,CAUL,POL ROGER STAKES,1100,100000,2-Y-O,O,SWP,MRC CHAIRMAN'S STAKES,CRYSTAL LILY,BEDHRAH,ROCK OF FORTUNE
27/02/2010,665,4,VIC,MRC,CAUL,VICTORIA GOLD CUP,2000,100000,O,O,Qlty,VICTORIA GOLD CUP,OLD JOCK,BERTONIC,SADALBAY
27/02/2010,185,4,WA,WATC,ASCT,CHALLENGE STAKES.,1400,75000,3-Y-O,O,Qlty,WATC CHALLENGE STKS,MORANT,YABIGORSE,ZENTRATE
27/02/2010,574,4,SA,SAJC,MORP,MATRICE STAKES,1200,70000,O,O,SWP,MATRICE STAKES,PERIDUKI,JAALIPPY,TRAMUNTANA
28/02/2010,402,4,WA,PINJARRA RC,PINJ,PINJARRA CUP,2300,100000,3YO&Up,O,Qlty,PINJARRA CUP,SIMPLY ADORABLE,ALMOHAD,GUYNO
6/03/2010,12,1,VIC,VRC,FLEM,NEWMARKET HANDICAP,1200,1000000,O,O,Hcp,VRC NEWMARKET HANDICAP,WANTED,EAGLE FALLS,STARSPANGLEDBANNER
6/03/2010,195,1,NSW,AJC,WFM,CHIPPING NORTON STAKES,1600,300000,3YO&Up,O,WFA,CHIPPING NORTON STAKES,THESIO,RANGIRANGDOO,DANLEIGH
6/03/2010,322,2,VIC,VRC,FLEM,KEWNEY STAKES,1400,400000,3-Y-O,F,SW,A.V KEWNEY STAKES,FAINT PERFUME,RESPONSE,NO EVIDENCE NEEDED
6/03/2010,9,2,VIC,VRC,FLEM,VRC SIRES' PRODUCE STAKES,1400,300000,2-Y-O,O,SW,VRC SIRES' PRODUCE STAKES,SHAMROCKER,WILLOW CREEK,YOSEI
6/03/2010,493,2,NSW,AJC,WFM,SURROUND STAKES,1400,150000,3-Y-O,F,SW,SURROUND STAKES,MORE JOYOUS,HURTLE MYRTLE,SO ANYWAY
6/03/2010,188,3,WA,WATC,ASCT,W.A. CHAMPION FILLIES ST,1600,175000,3-Y-O,F,SW,CHAMPION FILLIES,LE PLUNGE,IMPRESSIVE JEUNEY,FOR YOUR EYES ONLY
6/03/2010,148,3,VIC,VRC,FLEM,THOROUGHBRED BREEDERS ST,1200,150000,2-Y-O,F,SWP,THOROUGHBRED BREEDERS ST.,SHAAHEQ,SUBLIME GIRL,MARVELLOUS MISS
6/03/2010,336,3,NSW,AJC,WFM,LIVERPOOL CITY CUP,1300,125000,3YO&Up,O,Qlty,LIVERPOOL CITY CUP,DREAMSCAPE,TRIPLE HONOUR,MR BARITONE
6/03/2010,571,3,NSW,AJC,WFM,KINDERGARTEN STAKES,1100,125000,2-Y-O,O,SW,KINDERGARTEN STAKES,SOLAR CHARGED,ELIMBARI,GEORGETTE SILK
6/03/2010,329,4,VIC,VRC,FLEM,CHUBB STAKES,1400,125000,O,O,Hcp,VRC MARCH STAKES,CAPTAIN COLTISH,DANZULUM,MARVEEN
6/03/2010,366,4,VIC,VRC,FLEM,JAYCO SPRINT,1100,125000,3-Y-O,O,Hcp,MOOMBA PLATE,DISSOLVED,KWASSA KWASSA,RAREFIED
6/03/2010,628,4,NSW,AJC,WFM,WIGGLE F-&-M QUALITY HCP,1400,100000,4YO&Up,M,Qlty,WIGGLE QUALITY HCP,DANE JULIA,BEJEWELLED,MESSENGER
7/03/2010,146,4,NSW,CANBERRA RC,CANB,BLACK OPAL STAKES,1200,250000,2-Y-O,O,SWP,BLACK OPAL STAKES,DECISION TIME,LOHAN,BUTT IM READY
7/03/2010,437,4,NSW,CANBERRA RC,CANB,NATIONAL SPRINT,1400,100000,O,O,Qlty,NATIONAL SPRINT,SAINTHOOD,BAY WINDOW,IVORY PEGASUS
8/03/2010,28,2,SA,SAJC,MORP,ADELAIDE CUP,3200,400000,O,O,Hcp,ADELAIDE CUP,CAPECOVER,KERDEM,ITSTHEONE
8/03/2010,292,2,SA,SAJC,MORP,YALLAMBEE CLASSIC,1200,200000,3-Y-O,O,SW,YALLAMBEE CLASSIC,MAJESTIC MUSIC,SISTER MADLY,HAPPY HIPPY
8/03/2010,314,3,SA,SAJC,MORP,R N IRWIN STAKES,1100,100000,O,O,WFA,R N IRWIN STAKES,AUGUSTA PROUD,COMMANDING HOPE,CERBERUS GAL
8/03/2010,100,4,SA,SAJC,MORP,ADELAIDE GUINEAS,1600,70000,3-Y-O,O,SW,ADELAIDE GUINEAS,SMALL MINDS,STORM BREWING,ALOHA
8/03/2010,199,4,SA,SAJC,MORP,PEWSEY VALE STAKES,1050,70000,2-Y-O,F,SW,CINDERELLA STAKES,KOALA BEAR,TRISARA,ALWAYS DISCREET
8/03/2010,632,4,SA,SAJC,MORP,SCHWEPPERVESCENCE ST,2000,70000,O,F&M,SWP,CENTAUREA TROPHY,SWOOPER,LADY AVACAN,STARMON
9/03/2010,157,4,WA,BUNBURY RC,BUNB,BUNBURY STAKES,1400,120000,O,O,Qlty,BUNBURY STKS,MEKONG MISS,TUDOR LAD,SPITFIRE ACE
11/03/2010,156,4,WA,BUNBURY RC,BUNB,BUNBURY CUP,2200,130000,3YO&Up,O,Qlty,BUNBURY CUP,WHIPSAW,STAR RISCA,SIMPLY ADORABLE
13/03/2010,18,1,VIC,VRC,FLEM,AUSTRALIAN CUP,2000,1000000,O,O,WFA,AUSTRALIAN CUP,ZIPPING,SIRMIONE,MOATIZE
13/03/2010,123,1,VIC,VRC,FLEM,CADBURY GUINEAS,1600,750000,3-Y-O,O,SW,AUSTRALIAN GUINEAS,ROCK CLASSIC,SET FOR FAME,LINTON
13/03/2010,164,1,NSW,AJC,RAND,RANDWICK GUINEAS,1600,350000,3-Y-O,O,SW,RANDWICK GUINEAS,SHOOT OUT,VIKING LEGEND,CAPTAIN SONADOR
13/03/2010,147,2,VIC,VRC,FLEM,BLAMEY STAKES,1600,250000,3YO&Up,O,SWP,BLAMEY STAKES,LORD TAVISTOCK,VIGOR,DAO DAO
13/03/2010,186,2,NSW,AJC,RAND,CHALLENGE STAKES,1000,150000,O,O,WFA,AJC CHALLENGE STAKES,DE LIGHTNING RIDGE,DORF COMMAND,STRYKER
13/03/2010,265,3,VIC,VRC,FLEM,SCHWEPPES STAKES,1400,200000,4YO&Up,M,SWP,FRANCES TRESSADY STAKES,BE POSITIVE,RED FLAIR,FLYING RUBY
13/03/2010,606,3,VIC,VRC,FLEM,MATRON STAKES,1600,200000,4YO&Up,M,SWP,MATRON STAKES,RESPONSE,DELTA GEE,MIDNIGHT WINE
13/03/2010,163,3,NSW,AJC,RAND,RANDWICK CITY STAKES,2000,125000,3YO&Up,O,Qlty,RANDWICK CITY STAKES,THE EMBASSY,ALEXANDER OF HALES,DELTONA
13/03/2010,468,3,NSW,AJC,RAND,SKYLINE STAKES,1200,125000,2-Y-O,C&G,SW,SKYLINE STAKES,HINCHINBROOK,BRIGHT EXPECTATIONS,PRESSDAY
